paper_id	class_label
118259	Reinforcement_Learning
646357	Probabilistic_Methods
1153106	Neural_Networks
642798	Probabilistic_Methods
987197	Theory
1129111	Neural_Networks
1109566	Theory
1109581	Probabilistic_Methods
1153946	Neural_Networks
820661	Neural_Networks
820662	Theory
735303	Genetic_Algorithms
824245	Neural_Networks
195361	Reinforcement_Learning
187354	Rule_Learning
1132157	Probabilistic_Methods
58436	Case_Based
46887	Neural_Networks
57773	Rule_Learning
593155	Genetic_Algorithms
1108175	Neural_Networks
521269	Case_Based
177993	Genetic_Algorithms
235670	Rule_Learning
235679	Rule_Learning
220420	Genetic_Algorithms
645016	Probabilistic_Methods
11337	Theory
1138755	Neural_Networks
59244	Case_Based
1105360	Rule_Learning
4637	Theory
459214	Genetic_Algorithms
1108209	Genetic_Algorithms
66564	Genetic_Algorithms
593201	Genetic_Algorithms
107569	Neural_Networks
1026	Genetic_Algorithms
1136631	Theory
948147	Neural_Networks
1111265	Neural_Networks
12165	Theory
1121459	Case_Based
1120786	Neural_Networks
1112767	Neural_Networks
160705	Neural_Networks
57922	Theory
259772	Case_Based
189774	Probabilistic_Methods
1130243	Probabilistic_Methods
18785	Probabilistic_Methods
33325	Theory
1125906	Probabilistic_Methods
1237	Neural_Networks
1112106	Neural_Networks
1117920	Probabilistic_Methods
10186	Theory
576795	Genetic_Algorithms
116512	Neural_Networks
74821	Probabilistic_Methods
116545	Genetic_Algorithms
116552	Genetic_Algorithms
1140548	Neural_Networks
628667	Reinforcement_Learning
102061	Genetic_Algorithms
255628	Neural_Networks
616336	Rule_Learning
1152958	Neural_Networks
34961	Neural_Networks
102879	Theory
102884	Theory
4274	Case_Based
767763	Theory
1128975	Genetic_Algorithms
